Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
1,2014,14,Chhattisgarh,Durg,rice,834870.0,1729.89,43.24725,20.75868,38.05758,36105831.6075,17330799.171600003,31773131.8146,25.0,80.0,6.5,1200.0,2.0,18.0
1,2014,14,Chhattisgarh,Durg,maize,4020.0,1451.66,39.19482000000001,17.41992,24.678220000000003,157563.1764,70028.0784,99206.4444,22.0,70.0,6.0,800.0,2.5,20.0
1,2014,14,Chhattisgarh,Durg,chickpea,228750.0,1056.09,19.00962,10.5609,19.00962,4348450.574999999,2415805.875,4348450.574999999,20.0,60.0,6.5,600.0,1.5,16.0
1,2014,14,Chhattisgarh,Durg,cotton,50.0,400.0,10.8,4.800000000000001,10.8,540.0,240.00000000000003,540.0,28.0,65.0,6.0,700.0,3.0,22.0
1,2015,14,Chhattisgarh,Durg,rice,817680.0,1076.95,26.92375,12.9234,23.6929,22015011.9,10567205.712,19373210.472000003,25.0,80.0,6.5,1200.0,2.0,18.0
1,2015,14,Chhattisgarh,Durg,maize,9870.0,1467.17,39.61359,17.60604,24.94189,390986.1333,173771.6148,246176.4543,22.0,70.0,6.0,800.0,2.5,20.0
1,2015,14,Chhattisgarh,Durg,chickpea,220270.0,754.73,13.58514,7.5473,13.58514,2992398.7878,1662443.771,2992398.7878,20.0,60.0,6.5,600.0,1.5,16.0
1,2015,14,Chhattisgarh,Durg,cotton,50.0,200.0,5.4,2.4000000000000004,5.4,270.0,120.0,270.0,28.0,65.0,6.0,700.0,3.0,22.0
1,2016,14,Chhattisgarh,Durg,rice,858910.0,2085.96,52.149,25.03152,45.89112,44791297.59,21499822.8432,39416341.8792,25.0,80.0,6.5,1200.0,2.0,18.0
1,2016,14,Chhattisgarh,Durg,maize,7950.0,2028.48,54.76896,24.34176,34.48416,435413.232,193516.992,274149.07200000004,22.0,70.0,6.0,800.0,2.5,20.0
1,2016,14,Chhattisgarh,Durg,chickpea,227240.0,1161.83,20.91294,11.6183,20.91294,4752256.485599999,2640142.492,4752256.485599999,20.0,60.0,6.5,600.0,1.5,16.0
1,2016,14,Chhattisgarh,Durg,cotton,60.0,317.81,8.580869999999999,3.81372,8.580869999999999,514.8521999999999,228.8232,514.8521999999999,28.0,65.0,6.0,700.0,3.0,22.0
1,2017,14,Chhattisgarh,Durg,rice,841130.0,1168.92,29.22300000000001,14.027040000000005,25.716240000000003,24580341.99000001,11798564.155200005,21630700.9512,25.0,80.0,6.5,1200.0,2.0,18.0
1,2017,14,Chhattisgarh,Durg,maize,9250.0,1956.03,52.81281,23.47236,33.25251,488518.4925,217119.33,307585.7175,22.0,70.0,6.0,800.0,2.5,20.0
1,2017,14,Chhattisgarh,Durg,chickpea,258460.0,1003.82,18.068760000000005,10.038200000000002,18.068760000000005,4670051.709600001,2594473.1720000003,4670051.709600001,20.0,60.0,6.5,600.0,1.5,16.0
1,2017,14,Chhattisgarh,Durg,cotton,450.0,297.85,8.04195,3.5742000000000003,8.04195,3618.8775,1608.39,3618.8775,28.0,65.0,6.0,700.0,3.0,22.0
2,1966,14,Chhattisgarh,Bastar,rice,406000.0,642.86,16.0715,7.71432,14.14292,6525029.0,3132013.92,5742025.5200000005,25.0,80.0,6.5,1200.0,2.0,18.0
2,1966,14,Chhattisgarh,Bastar,maize,23000.0,1347.83,36.39140999999999,16.173959999999997,22.91311,837002.4299999998,372001.08,527001.5299999999,22.0,70.0,6.0,800.0,2.5,20.0
2,1966,14,Chhattisgarh,Bastar,chickpea,1900.0,263.16,4.73688,2.6316,4.73688,9000.072,5000.04,9000.072,20.0,60.0,6.5,600.0,1.5,16.0
2,1967,14,Chhattisgarh,Bastar,rice,414000.0,770.53,19.26325,9.24636,16.951659999999997,7974985.5,3827993.04,7017987.239999998,25.0,80.0,6.5,1200.0,2.0,18.0
2,1967,14,Chhattisgarh,Bastar,maize,24000.0,1416.67,38.25009,17.000040000000002,24.08339,918002.16,408000.96,578001.36,22.0,70.0,6.0,800.0,2.5,20.0
2,1967,14,Chhattisgarh,Bastar,chickpea,2000.0,500.0,9.0,5.0,9.0,18000.0,10000.0,18000.0,20.0,60.0,6.5,600.0,1.5,16.0
2,1968,14,Chhattisgarh,Bastar,rice,423200.0,694.71,17.36775,8.33652,15.28362,7350031.800000001,3528015.264,6468027.984,25.0,80.0,6.5,1200.0,2.0,18.0
2,1968,14,Chhattisgarh,Bastar,maize,24700.0,971.66,26.23482,11.65992,16.51822,648000.054,288000.024,408000.034,22.0,70.0,6.0,800.0,2.5,20.0
2,1968,14,Chhattisgarh,Bastar,chickpea,2500.0,400.0,7.2,4.0,7.2,18000.0,10000.0,18000.0,20.0,60.0,6.5,600.0,1.5,16.0
2,1969,14,Chhattisgarh,Bastar,rice,429100.0,766.72,19.168000000000003,9.20064,16.86784,8224988.800000001,3947994.624,7237990.144,25.0,80.0,6.5,1200.0,2.0,18.0
2,1969,14,Chhattisgarh,Bastar,maize,25100.0,996.02,26.89254,11.95224,16.93234,675002.754,300001.224,425001.734,22.0,70.0,6.0,800.0,2.5,20.0
2,1969,14,Chhattisgarh,Bastar,chickpea,2400.0,375.0,6.75,3.75,6.75,16200.0,9000.0,16200.0,20.0,60.0,6.5,600.0,1.5,16.0
2,1970,14,Chhattisgarh,Bastar,rice,437700.0,723.78,18.0945,8.68536,15.92316,7919962.65,3801582.072,6969567.131999999,25.0,80.0,6.5,1200.0,2.0,18.0
2,1970,14,Chhattisgarh,Bastar,maize,25400.0,1421.26,38.37402,17.05512,24.16142,974700.108,433200.048,613700.068,22.0,70.0,6.0,800.0,2.5,20.0
2,1970,14,Chhattisgarh,Bastar,chickpea,2200.0,363.64,6.54552,3.6364,6.54552,14400.144,8000.079999999999,14400.144,20.0,60.0,6.5,600.0,1.5,16.0
2,1971,14,Chhattisgarh,Bastar,rice,445600.0,822.71,20.56775,9.872520000000002,18.09962,9164989.4,4399194.9120000005,8065190.672,25.0,80.0,6.5,1200.0,2.0,18.0
2,1971,14,Chhattisgarh,Bastar,maize,26800.0,1309.7,35.361900000000006,15.7164,22.2649,947698.9200000002,421199.52,596699.3200000001,22.0,70.0,6.0,800.0,2.5,20.0
2,1971,14,Chhattisgarh,Bastar,chickpea,2300.0,434.78,7.82604,4.3478,7.82604,17999.892,9999.94,17999.892,20.0,60.0,6.5,600.0,1.5,16.0
2,1972,14,Chhattisgarh,Bastar,rice,443100.0,645.0,16.125,7.74,14.19,7144987.5,3429594.0,6287589.000000001,25.0,80.0,6.5,1200.0,2.0,18.0
2,1972,14,Chhattisgarh,Bastar,maize,26800.0,1384.33,37.37691,16.611959999999996,23.53361,1001701.1879999998,445200.5279999999,630700.7479999999,22.0,70.0,6.0,800.0,2.5,20.0
2,1972,14,Chhattisgarh,Bastar,chickpea,2000.0,350.0,6.3,3.5,6.3,12600.0,7000.0,12600.0,20.0,60.0,6.5,600.0,1.5,16.0
2,1973,14,Chhattisgarh,Bastar,rice,450500.0,808.66,20.2165,9.70392,17.790519999999997,9107533.25,4371615.96,8014629.259999999,25.0,80.0,6.5,1200.0,2.0,18.0
2,1973,14,Chhattisgarh,Bastar,maize,27400.0,1437.96,38.824920000000006,17.25552,24.44532,1063802.8080000002,472801.248,669801.768,22.0,70.0,6.0,800.0,2.5,20.0
2,1973,14,Chhattisgarh,Bastar,chickpea,2100.0,428.57,7.71426,4.2857,7.71426,16199.946,8999.970000000001,16199.946,20.0,60.0,6.5,600.0,1.5,16.0
2,1974,14,Chhattisgarh,Bastar,rice,451600.0,670.73,16.768250000000002,8.048760000000001,14.756060000000002,7572541.700000001,3634820.0160000008,6663836.696,25.0,80.0,6.5,1200.0,2.0,18.0
2,1974,14,Chhattisgarh,Bastar,maize,28200.0,1226.95,33.12765,14.7234,20.85815,934199.73,415199.88,588199.83,22.0,70.0,6.0,800.0,2.5,20.0
2,1974,14,Chhattisgarh,Bastar,chickpea,1600.0,312.5,5.625,3.125,5.625,9000.0,5000.0,9000.0,20.0,60.0,6.5,600.0,1.5,16.0
